event_id,kind,domain,recording_id,start_ns,end_ns,peak_ns,duration_s,route_progress_m,osm_way_id,road_class,detail_approach_distance_m,detail_closest_distance_m,detail_mean_curvature_1_per_m,detail_max_curvature_1_per_m,detail_length_m,detail_previous_class,detail_new_class,detail_duration_s
motorcycle_junction_approach_013,junction_approach,motorcycle,motorcycle_5ab8604a14df,2429248134997,2429248134997,2429248134997,0.0,3771.397808401308,64922143,primary,21.860706923246028,,,,,,,
motorcycle_junction_crossing_013,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2429248134997,2431248135257,2430248135101,2.00000026,3790.485247659745,64922143,primary,,2.773267664809187,,,,,,
motorcycle_junction_approach_014,junction_approach,motorcycle,motorcycle_5ab8604a14df,2434248135570,2434248135570,2434248135570,0.0,3877.772604717,159924594,primary,9.208545650216335,,,,,,,
motorcycle_junction_crossing_014,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2434248135570,2435248135674,2434248135570,1.000000104,3877.772604717,159924594,primary,,9.208545650216335,,,,,,
motorcycle_junction_approach_015,junction_approach,motorcycle,motorcycle_5ab8604a14df,2440248136091,2440248136091,2440248136091,0.0,4033.4020208138154,159924597,primary,29.5315352595897,,,,,,,
motorcycle_junction_crossing_015,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2440248136091,2442248136247,2441248136195,2.000000156,4059.2704970815867,159924597,primary,,3.6630589918186836,,,,,,
motorcycle_junction_approach_016,junction_approach,motorcycle,motorcycle_5ab8604a14df,2444248136403,2445248136455,2444248136403,1.000000052,4144.006432286437,34720805,primary,19.93773462498674,,,,,,,
motorcycle_junction_crossing_016,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2444248136403,2447248136560,2446248136507,3.000000157,4204.5719852016955,34720810,primary,,0.9012261987911153,,,,,,
motorcycle_junction_approach_017,junction_approach,motorcycle,motorcycle_5ab8604a14df,2449248136664,2449248136664,2449248136664,0.0,4293.123880190858,847429412,primary,18.097042169885786,,,,,,,
motorcycle_junction_crossing_017,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2449248136664,2450248136716,2450248136716,1.000000052,4324.858503804104,847429408,primary,,8.637645067467151,,,,,,
motorcycle_junction_approach_018,junction_approach,motorcycle,motorcycle_5ab8604a14df,2452248136768,2452248136768,2452248136768,0.0,4377.888255175336,847429408,primary,14.614523580982233,,,,,,,
motorcycle_junction_crossing_018,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2452248136768,2453248136820,2453248136820,1.000000052,4407.839765142855,847429411,primary,,10.34364455504205,,,,,,
motorcycle_straight_007,straight,motorcycle,motorcycle_5ab8604a14df,2453248136820,2477248137028,2465248137028,24.000000208,4678.073784394561,847429411,primary,,,0.0042723885485044175,0.01878713119528491,,,,
motorcycle_junction_approach_019,junction_approach,motorcycle,motorcycle_5ab8604a14df,2467248137028,2467248137028,2467248137028,0.0,4716.8885536971575,847429411,primary,17.165172617068396,,,,,,,
motorcycle_junction_crossing_019,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2467248137028,2469248137080,2468248137080,2.000000052,4741.346072165714,492871687,primary,,2.292370993000685,,,,,,
motorcycle_roundabout_entry_004,roundabout_entry,motorcycle,motorcycle_5ab8604a14df,2478248137028,2478248137028,2478248137028,0.0,4891.0233474645365,158294633,primary,,,,,,,,
motorcycle_roundabout_traverse_004,roundabout_traverse,motorcycle,motorcycle_5ab8604a14df,2478248137028,2483248136872,2481248136924,4.999999844,4926.25644790529,158294633,primary,,,,,58.24558011802037,,,
motorcycle_roundabout_exit_004,roundabout_exit,motorcycle,motorcycle_5ab8604a14df,2483248136872,2483248136872,2483248136872,0.0,4949.268927582557,158294633,primary,,,,,,,,
motorcycle_curve_004,curve,motorcycle,motorcycle_5ab8604a14df,2478248137028,2486248136768,2484248136820,7.99999974,4966.016102101582,441627318,primary,,,0.02892731825528175,0.04030952205708626,,,,
motorcycle_straight_008,straight,motorcycle,motorcycle_5ab8604a14df,2487248136768,2493248136611,2490248136664,5.999999843,5067.600036833664,441627318,primary,,,0.002603328466285343,0.003627436502600692,,,,
