recording_id,source_frame_index,timestamp_ns,side,agreement_case,agreement_label,state_candidate,hand_tracking_valid,landmarks_in_frame,landmarks_total,tracking_dt_ms,proxy_available,proxy_mask_present,proxy_mask_present_before_plausibility,proxy_implausible_detections,proxy_score,proxy_area_fraction,proxy_raw_area_fraction,proxy_tracking_overlap,local_blur_variance,reference_blur_variance,proxy_persisted_frames
motorcycle_5ab8604a14df,14302,3128286386343,left,3,hand not visible and proxy absent,not_visible,False,0,0,8.255657,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14302,3128286386343,right,3,hand not visible and proxy absent,not_visible,False,0,0,8.255657,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14303,3128353034936,left,3,hand not visible and proxy absent,not_visible,False,0,0,41.621064,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14303,3128353034936,right,3,hand not visible and proxy absent,not_visible,False,0,0,41.621064,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14304,3128419670979,left,4,hand not visible but a false mask is present,uncertain,False,0,0,-25.014979,True,True,True,0,0.2727987766265869,0.002856775426219871,0.002856775426219871,,,,1
motorcycle_5ab8604a14df,14304,3128419670979,right,4,hand not visible but a false mask is present,uncertain,False,0,0,-25.014979,True,True,True,0,0.2727987766265869,0.002856775426219871,0.002856775426219871,,,,1
motorcycle_5ab8604a14df,14305,3128486300811,left,3,hand not visible and proxy absent,not_visible,False,0,0,8.341189,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14305,3128486300811,right,3,hand not visible and proxy absent,not_visible,False,0,0,8.341189,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14306,3128552924539,left,3,hand not visible and proxy absent,not_visible,False,0,0,41.718461,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14306,3128552924539,right,3,hand not visible and proxy absent,not_visible,False,0,0,41.718461,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14307,3128619541614,left,3,hand not visible and proxy absent,not_visible,False,0,0,-24.898614,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14307,3128619541614,right,3,hand not visible and proxy absent,not_visible,False,0,0,-24.898614,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14308,3128686165186,left,3,hand not visible and proxy absent,not_visible,False,0,0,8.476814,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14308,3128686165186,right,3,hand not visible and proxy absent,not_visible,False,0,0,8.476814,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14309,3128752788706,left,3,hand not visible and proxy absent,not_visible,False,0,0,41.854294,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14309,3128752788706,right,3,hand not visible and proxy absent,not_visible,False,0,0,41.854294,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14310,3128819412280,left,3,hand not visible and proxy absent,not_visible,False,0,0,-24.76928,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14310,3128819412280,right,3,hand not visible and proxy absent,not_visible,False,0,0,-24.76928,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14311,3128886035852,left,3,hand not visible and proxy absent,not_visible,False,0,0,8.606148,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14311,3128886035852,right,3,hand not visible and proxy absent,not_visible,False,0,0,8.606148,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14312,3128952658926,left,3,hand not visible and proxy absent,not_visible,False,0,0,41.983074,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14312,3128952658926,right,3,hand not visible and proxy absent,not_visible,False,0,0,41.983074,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14313,3129019282499,left,4,hand not visible but a false mask is present,uncertain,False,0,0,-24.640499,True,True,True,0,0.272024542093277,0.014602754682119762,0.011601303329973965,,,,1
motorcycle_5ab8604a14df,14313,3129019282499,right,4,hand not visible but a false mask is present,uncertain,False,0,0,-24.640499,True,True,True,0,0.272024542093277,0.014602754682119762,0.011601303329973965,,,,1
motorcycle_5ab8604a14df,14314,3129085893415,left,4,hand not visible but a false mask is present,uncertain,False,0,0,8.748585,True,True,True,0,0.2658804655075073,0.0026222101494918957,0.0026222101494918957,,,,2
motorcycle_5ab8604a14df,14314,3129085893415,right,4,hand not visible but a false mask is present,uncertain,False,0,0,8.748585,True,True,True,0,0.2658804655075073,0.0026222101494918957,0.0026222101494918957,,,,2
motorcycle_5ab8604a14df,14315,3129152523489,left,4,hand not visible but a false mask is present,uncertain,False,0,0,42.119511,True,True,True,0,0.3065270483493805,0.017369640757537583,0.014384264508272444,,,,3
motorcycle_5ab8604a14df,14315,3129152523489,right,4,hand not visible but a false mask is present,uncertain,False,0,0,42.119511,True,True,True,0,0.3065270483493805,0.017369640757537583,0.014384264508272444,,,,3
motorcycle_5ab8604a14df,14316,3129219146561,left,4,hand not visible but a false mask is present,uncertain,False,0,0,-24.503561,True,True,True,0,0.3380771279335022,0.019916068279163517,0.010138797031158142,,,,4
motorcycle_5ab8604a14df,14316,3129219146561,right,4,hand not visible but a false mask is present,uncertain,False,0,0,-24.503561,True,True,True,0,0.3380771279335022,0.019916068279163517,0.010138797031158142,,,,4
motorcycle_5ab8604a14df,14317,3129285770133,left,4,hand not visible but a false mask is present,uncertain,False,0,0,8.873867,True,True,True,0,0.2751297354698181,0.00339315896111531,0.0033931589611153105,,,,5
motorcycle_5ab8604a14df,14317,3129285770133,right,4,hand not visible but a false mask is present,uncertain,False,0,0,8.873867,True,True,True,0,0.2751297354698181,0.00339315896111531,0.0033931589611153105,,,,5
motorcycle_5ab8604a14df,14318,3129352343135,left,3,hand not visible and proxy absent,not_visible,False,0,0,42.299865,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14318,3129352343135,right,3,hand not visible and proxy absent,not_visible,False,0,0,42.299865,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14319,3129418954238,left,3,hand not visible and proxy absent,not_visible,False,0,0,-24.311238,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14319,3129418954238,right,3,hand not visible and proxy absent,not_visible,False,0,0,-24.311238,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14320,3129485533082,left,3,hand not visible and proxy absent,not_visible,False,0,0,9.110918,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14320,3129485533082,right,3,hand not visible and proxy absent,not_visible,False,0,0,9.110918,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14321,3129552100164,left,3,hand not visible and proxy absent,not_visible,False,0,0,42.541836,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14321,3129552100164,right,3,hand not visible and proxy absent,not_visible,False,0,0,42.541836,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14322,3129618653883,left,3,hand not visible and proxy absent,not_visible,False,0,0,-24.011883,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14322,3129618653883,right,3,hand not visible and proxy absent,not_visible,False,0,0,-24.011883,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14323,3129685195395,left,4,hand not visible but a false mask is present,uncertain,False,0,0,9.446605,True,True,True,0,0.2901756167411804,0.02427996661627614,0.02427996661627614,,,,1
motorcycle_5ab8604a14df,14323,3129685195395,right,4,hand not visible but a false mask is present,uncertain,False,0,0,9.446605,True,True,True,0,0.2901756167411804,0.02427996661627614,0.02427996661627614,,,,1
motorcycle_5ab8604a14df,14324,3129751762010,left,4,hand not visible but a false mask is present,uncertain,False,0,0,42.90399,True,True,True,0,0.272024542093277,0.030225786302175192,0.030225786302175192,,,,2
motorcycle_5ab8604a14df,14324,3129751762010,right,4,hand not visible but a false mask is present,uncertain,False,0,0,42.90399,True,True,True,0,0.272024542093277,0.030225786302175192,0.030225786302175192,,,,2
